expocode: 316420100908,,,,,,,,,,,,,,,,,,,,,,,,,
vessel name: NH_70W_43N,,,,,,,,,,,,,,,,,,,,,,,,,
"PIs: Sutton, A.; Vandemark, D.",,,,,,,,,,,,,,,,,,,,,,,,,
vessel type: Mooring,,,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH_SW,pH_QF
NH_70W_43N,43.025,-70.537,9/8/10,0:17,402.6,2,4.4,376.6,2,4.52,1005.7,21.3,101.3,-999,-999,404.4,378.3,-999,-999,-999,-999,-999,-999,-999,5
NH_70W_43N,43.025,-70.537,9/8/10,3:17,408.9,2,4.26,386.8,2,4.45,1004.8,20.2,101.27,17.887,31.561,410.6,388.5,397.6,376.2,21.4,399,377.5,21.5,8.064,2
NH_70W_43N,43.025,-70.537,9/8/10,6:17,407.6,2,4.21,389.2,2,4.37,1003.2,19.6,101.04,17.705,31.591,409.3,390.9,395.9,378,17.8,397.2,379.4,17.9,8.027,2
NH_70W_43N,43.025,-70.537,9/8/10,9:17,401.6,2,4.29,391.1,2,4.41,1002.2,19.4,101.16,18.205,31.557,403.3,392.9,389.4,379.3,10.1,390.7,380.6,10.1,8.056,2
NH_70W_43N,43.025,-70.537,9/8/10,12:17,409.5,2,4.36,394.9,2,4.51,999.5,19.5,101,17.917,31.551,411.3,396.7,396.2,382.1,14.1,397.6,383.4,14.1,8.053,2
NH_70W_43N,43.025,-70.537,9/8/10,15:17,408.6,2,4.51,391.9,2,4.87,997.2,19.4,100.89,18.07,31.518,410.4,393.8,394.3,378.4,16,395.7,379.7,16,8.046,2
NH_70W_43N,43.025,-70.537,9/8/10,18:17,407.5,2,4.65,387.3,2,4.79,995,20,101.15,18.808,31.55,409.4,389.2,392.1,372.7,19.4,393.5,374,19.5,8.043,2
NH_70W_43N,43.025,-70.537,9/8/10,21:17,401.4,2,4.64,384.9,2,4.16,995.3,20.4,101.14,18.779,31.53,403.3,386.5,386.3,370.3,16.1,387.6,371.5,16.1,8.046,2
NH_70W_43N,43.025,-70.537,9/9/10,0:17,398.9,2,4.52,387.9,2,3.99,996.1,20.2,101.53,18.635,31.532,400.7,389.4,384.3,373.4,10.8,385.6,374.7,10.9,8.067,2
NH_70W_43N,43.025,-70.537,9/9/10,3:17,399.7,2,4.41,389.5,2,3.9,996.3,19.9,101.35,18.37,31.541,401.5,391,385.2,375.2,10.1,386.6,376.5,10.1,8.04,2
NH_70W_43N,43.025,-70.537,9/9/10,6:17,401.8,2,4.24,395.1,2,3.73,995.7,19.4,101.34,18.314,31.537,403.5,396.6,387,380.3,6.7,388.3,381.6,6.7,8.044,2
NH_70W_43N,43.025,-70.537,9/9/10,9:17,403.2,2,4.01,395.5,2,3.66,995.5,18.9,101.23,18.201,31.56,404.8,397,388.2,380.7,7.5,389.5,382,7.5,8.049,2
NH_70W_43N,43.025,-70.537,9/9/10,12:17,404.5,2,4.17,397.1,2,3.85,995.9,18.8,100.95,18.038,31.553,406.2,398.7,389.8,382.5,7.2,391.1,383.8,7.3,8.055,2
NH_70W_43N,43.025,-70.537,9/9/10,15:17,401.9,2,4.51,387.9,2,4.07,995.4,19,101.12,18.119,31.566,403.8,389.5,387.2,373.5,13.7,388.5,374.8,13.7,8.042,2
NH_70W_43N,43.025,-70.537,9/9/10,18:17,402.8,2,4.72,384.6,2,4.29,994.7,19.5,101.05,18.481,31.554,404.7,386.3,387.6,370,17.6,389,371.3,17.7,8.052,2
NH_70W_43N,43.025,-70.537,9/9/10,21:17,396.5,2,4.42,384.2,2,4.01,994.7,19.7,101,18.144,31.583,398.3,385.8,381.6,369.6,12,382.9,370.9,12,8.062,2
NH_70W_43N,43.025,-70.537,9/10/10,0:17,396.2,2,4.3,386,2,3.86,996.4,19.4,101.21,18.347,31.566,397.9,387.5,381.9,371.8,10,383.2,373.1,10.1,8.066,2
NH_70W_43N,43.025,-70.537,9/10/10,3:17,396.9,2,4.25,393.3,2,3.7,996.1,19.2,101.38,18.217,31.575,398.5,394.8,382.4,378.8,3.6,383.7,380.1,3.6,8.061,2
NH_70W_43N,43.025,-70.537,9/10/10,6:17,399.5,2,4.21,396.6,2,3.69,996.4,18.9,101.12,17.872,31.601,401.2,398,385.2,382.2,3,386.6,383.5,3.1,8.055,2
NH_70W_43N,43.025,-70.537,9/10/10,9:17,404.4,2,3.98,388.6,2,3.38,997.4,18.5,100.94,17.3,31.662,406,390,390.5,375.1,15.4,391.9,376.4,15.5,8.052,2
NH_70W_43N,43.025,-70.537,9/10/10,12:17,400,2,3.96,390.2,2,3.37,999,17.8,100.97,17.67,31.612,401.6,391.5,386.7,377,9.7,388.1,378.3,9.7,8.055,2
NH_70W_43N,43.025,-70.537,9/10/10,15:17,400,2,4.37,384.7,2,3.7,999.2,18.6,101.28,18.06,31.622,401.8,386.2,386.8,371.8,15,388.1,373,15.1,8.057,2
NH_70W_43N,43.025,-70.537,9/10/10,18:17,395.9,2,4.52,382.1,2,3.65,999.5,19.3,101.02,18.08,31.609,397.7,383.5,383,369.3,13.7,384.3,370.6,13.7,8.042,2
NH_70W_43N,43.025,-70.537,9/10/10,21:17,389.7,2,4.57,379.3,2,3.76,1000.7,19.6,101.22,17.867,31.628,391.5,380.8,377.6,367.2,10.3,378.9,368.5,10.4,8.069,2
NH_70W_43N,43.025,-70.537,9/11/10,0:17,392.5,2,4.39,380.6,2,3.69,1003.4,19.3,101.43,18.077,31.62,394.3,382,381.2,369.3,11.9,382.5,370.6,11.9,8.065,2
NH_70W_43N,43.025,-70.537,9/11/10,3:17,387.6,2,4.31,386.5,2,3.62,1003.6,19.1,101.2,18.031,31.624,389.3,387.9,376.5,375.2,1.3,377.8,376.5,1.3,8.051,2
NH_70W_43N,43.025,-70.537,9/11/10,6:17,388.9,2,4.2,393.7,2,3.53,1003.4,19,101.27,17.883,31.63,390.6,395.1,377.7,382.1,-4.4,379,383.5,-4.4,8.058,2
NH_70W_43N,43.025,-70.537,9/11/10,9:17,393.9,2,3.93,390.6,2,3.42,1004.5,18.5,101.08,17.216,31.678,395.5,391.9,383.2,379.8,3.4,384.5,381.1,3.4,8.062,2
NH_70W_43N,43.025,-70.537,9/11/10,12:17,389.2,2,4.13,397.4,2,3.47,1006.8,18,101.09,17.331,31.671,390.8,398.8,379.5,387.2,-7.7,380.8,388.6,-7.8,8.063,2
NH_70W_43N,43.025,-70.537,9/11/10,15:17,388.5,2,4.33,388.1,2,3.63,1008.1,18.6,100.74,17.786,31.658,390.2,389.5,379.2,378.5,0.7,380.6,379.9,0.7,8.051,2
NH_70W_43N,43.025,-70.537,9/11/10,18:17,390,2,4.72,385,2,3.89,1007.4,19.1,101.31,18.181,31.676,391.8,386.5,380.3,375.2,5.1,381.7,376.5,5.2,8.066,2
NH_70W_43N,43.025,-70.537,9/11/10,21:17,388.7,2,4.74,384,2,3.95,1007.7,19.6,100.92,18.217,31.678,390.6,385.6,379.2,374.3,4.9,380.5,375.6,4.9,8.066,2
