Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (Total Scale),pH QF Flag
NH_70W_43N,43.024,-70.542,7/6/2011,21:17,370,2,4.5,385.3,2,4.35,1007.6,21.5,105.28,17.829,29.728,371.7,387,361,375.8,-14.8,362.2,377.1,-14.9,8.0636,2
NH_70W_43N,43.024,-70.542,7/7/2011,0:17,361.9,2,4.27,384.1,2,3.98,1009.2,20.4,105.39,17.325,29.764,363.5,385.6,353.8,375.3,-21.5,355.1,376.7,-21.6,8.0779,2
NH_70W_43N,43.024,-70.542,7/7/2011,3:17,379.9,2,3.88,386.4,2,3.8,1009.4,19.4,105.43,17.271,29.914,381.4,387.9,371.3,377.7,-6.3,372.6,379,-6.4,8.0585,2
NH_70W_43N,43.024,-70.542,7/7/2011,6:17,378.5,2,3.82,397.6,2,3.72,1009.3,18.8,105.37,16.694,30.001,379.9,399,370.1,388.8,-18.6,371.5,390.1,-18.7,8.0592,2
NH_70W_43N,43.024,-70.542,7/7/2011,9:17,377.1,2,3.8,417.8,2,3.71,1009.5,18.4,105.29,16.808,29.957,378.5,419.4,368.8,408.6,-39.8,370.1,410,-39.9,8.063,2
NH_70W_43N,43.024,-70.542,7/7/2011,12:17,385.7,2,4.15,417.2,2,4.36,1010.8,18.3,105.12,16.846,29.988,387.3,419,377.8,408.7,-30.9,379.1,410.2,-31,8.0512,2
NH_70W_43N,43.024,-70.542,7/7/2011,15:17,384.7,2,4.26,387.6,2,4.27,1011.5,18.8,105.09,17.113,29.982,386.4,389.2,377.1,379.9,-2.8,378.4,381.2,-2.8,8.0572,2
NH_70W_43N,43.024,-70.542,7/7/2011,18:17,395.5,2,4.39,383.6,2,4.26,1011.5,19.3,105.1,17.458,30.014,397.2,385.3,387.5,375.8,11.7,388.9,377.2,11.7,8.0471,2
NH_70W_43N,43.024,-70.542,7/7/2011,21:17,397.1,2,4.49,376,2,4.14,1011.6,20,105.16,18.078,30.028,398.9,377.6,388.9,368.1,20.8,390.2,369.3,20.9,8.0385,2
NH_70W_43N,43.024,-70.542,7/8/2011,0:17,391.6,2,4.41,375.2,2,3.89,1012,20.3,105.11,17.933,30.06,393.3,376.7,383.7,367.4,16.2,385,368.7,16.3,8.0452,2
NH_70W_43N,43.024,-70.542,7/8/2011,3:17,392.3,2,4.22,386.6,2,3.95,1013.3,19.8,105.03,17.732,30.105,394,388.1,384.9,379.2,5.7,386.3,380.5,5.8,8.0461,2
NH_70W_43N,43.024,-70.542,7/8/2011,6:17,386.2,2,4.06,390.3,2,3.82,1013.5,19.2,104.94,17.271,30.13,387.8,391.8,379.1,383.1,-4,380.4,384.4,-4,8.0505,2
NH_70W_43N,43.024,-70.542,7/8/2011,9:17,393.5,2,4.04,414.3,2,3.8,1013.3,18.9,104.82,17.457,30.072,395.1,415.9,386.1,406.4,-20.3,387.5,407.9,-20.4,8.0436,2
NH_70W_43N,43.024,-70.542,7/8/2011,12:17,382.6,2,3.96,430.8,2,3.8,1013.7,18.4,104.75,16.164,30.174,384.1,432.4,376.1,423.4,-47.3,377.5,424.9,-47.5,8.057,2
NH_70W_43N,43.024,-70.542,7/8/2011,15:17,387.2,2,4.18,386.2,2,4.13,1013.6,18.4,104.82,17.218,30.105,388.9,387.8,380.3,379.2,1.1,381.6,380.5,1.1,8.0516,2
NH_70W_43N,43.024,-70.542,7/8/2011,18:17,392.4,2,4.36,386,2,4.29,1012.3,19,104.77,17.565,30.195,394.1,387.7,384.7,378.4,6.3,386.1,379.8,6.3,8.0479,2
NH_70W_43N,43.024,-70.542,7/8/2011,21:17,392.6,2,4.46,386.9,2,4.36,1010.4,19.4,104.81,17.574,30.201,394.4,388.6,384.3,378.6,5.7,385.6,379.9,5.7,8.0498,2
NH_70W_43N,43.024,-70.542,7/9/2011,0:17,386.4,2,4.19,387.4,2,3.99,1010.2,19.2,104.77,16.971,30.12,388,389,378.3,379.2,-0.9,379.6,380.5,-0.9,8.0547,2
NH_70W_43N,43.024,-70.542,7/9/2011,3:17,379.3,2,4.08,387.5,2,3.92,1008.8,18.7,104.93,16.492,30.174,380.8,389.1,370.9,379,-8,372.3,380.3,-8.1,8.06,2
NH_70W_43N,43.024,-70.542,7/9/2011,6:17,385.9,2,4.01,387.4,2,3.86,1006.7,18.3,104.92,16.873,30.139,387.5,388.9,376.4,377.8,-1.4,377.7,379.1,-1.4,8.0549,2
