expocode: 316420120822,,,,,,,,,,,,,,,,,,,,,,,,,
vessel name: NH_70W_43N,,,,,,,,,,,,,,,,,,,,,,,,,
"PIs: Sutton, A.; Vandemark, D.; Salisbury, J.",,,,,,,,,,,,,,,,,,,,,,,,,
vessel type: Mooring,,,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH_SW (Total Scale),QF_pH
NH_70W_43N,43.022,-70.543,8/22/2012,0:17,384.1,2,4.65,390.0,2,4.37,1016.7,24.5,104.18,20.627,31.411,385.9,391.7,376.8,382.5,-5.7,378.1,383.8,-5.7,8.045,2
NH_70W_43N,43.022,-70.543,8/22/2012,3:17,381.5,2,4.94,395.0,2,4.83,1018,22.4,104.17,20.432,31.461,383.4,397,375,388.3,-13.3,376.3,389.6,-13.3,8.047,2
NH_70W_43N,43.022,-70.543,8/22/2012,6:17,382.0,2,4.85,411.8,2,4.59,1018.2,21.8,104.06,20.376,31.457,383.9,413.7,375.6,404.7,-29.2,376.9,406.1,-29.3,8.050,2
NH_70W_43N,43.022,-70.543,8/22/2012,9:17,385.6,2,4.58,440.4,2,4.19,1019.2,21.4,103.85,20.287,31.402,387.4,442.2,379.5,433.1,-53.7,380.7,434.6,-53.9,8.046,2
NH_70W_43N,43.022,-70.543,8/22/2012,12:17,385.6,2,4.97,417.9,2,4.47,1020.5,21.2,103.86,19.952,31.406,387.6,419.8,380.3,411.9,-31.7,381.6,413.3,-31.8,8.046,2
NH_70W_43N,43.022,-70.543,8/22/2012,15:17,386.8,2,5.45,412.5,2,4.76,1021,21.7,103.91,20.116,31.398,389,414.5,381.8,406.8,-25,383.1,408.2,-25.1,8.050,2
NH_70W_43N,43.022,-70.543,8/22/2012,18:17,393.1,2,5.52,407.6,2,5.12,1019.9,22.8,103.97,21.204,31.454,395.3,409.7,386.9,401.1,-14.1,388.2,402.4,-14.2,8.038,2
NH_70W_43N,43.022,-70.543,8/22/2012,21:17,385.8,2,5.55,385.1,2,5.25,1019.1,22.9,103.96,20.881,31.448,388,387.1,379.7,378.8,0.9,381,380.1,0.9,8.048,2
NH_70W_43N,43.022,-70.543,8/23/2012,0:17,380.9,2,5.19,381.6,2,4.89,1019.3,22.6,104.01,20.518,31.447,382.9,383.5,374.9,375.6,-0.6,376.2,376.8,-0.6,8.050,2
NH_70W_43N,43.022,-70.543,8/23/2012,3:17,380.4,2,5.08,381.6,2,4.74,1019.5,22.1,103.97,20.441,31.457,382.3,383.4,374.5,375.5,-1.1,375.8,376.8,-1.1,8.052,2
