Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH_SW (Total Scale),pH QF
NH_70W_43N,43.022,-70.543,11/5/2013,19:17,369.6,2,1.74,399.9,2,1.34,1036.5,14.1,99.68,11.46,32.172,370.2,400.4,372.4,402.8,-30.4,373.9,404.4,-30.5,-999,5
NH_70W_43N,43.022,-70.543,11/5/2013,19:47,368.6,2,1.81,399.6,2,1.37,1036.1,14.3,99.71,11.389,32.181,369.3,400.1,371.4,402.4,-31,372.8,403.9,-31.1,-999,5
NH_70W_43N,43.022,-70.543,11/5/2013,20:17,365.2,2,1.84,399.1,2,1.41,1035.9,14.3,100.08,11.35,32.188,365.9,399.7,367.9,401.8,-34,369.3,403.4,-34.1,-999,5
NH_70W_43N,43.022,-70.543,11/5/2013,20:47,351.8,2,1.78,400.7,2,1.35,1035.8,14.3,100.48,11.069,32.221,352.5,401.2,354.4,403.5,-49,355.8,405,-49.2,-999,5
NH_70W_43N,43.022,-70.543,11/5/2013,21:17,362.9,2,1.72,401.1,2,1.32,1035.7,14.1,100.32,10.863,32.259,363.5,401.6,365.5,403.9,-38.3,367,405.5,-38.5,8.039,2
NH_70W_43N,43.022,-70.543,11/5/2013,21:47,383.8,2,1.69,402,2,1.34,1035.5,13.9,100.17,10.804,32.288,384.4,402.5,386.5,404.7,-18.2,388.1,406.3,-18.2,-999,5
NH_70W_43N,43.022,-70.543,11/5/2013,22:17,397.1,2,1.74,405,2,1.37,1035.5,13.8,99.63,10.772,32.306,397.8,405.6,400,407.8,-7.8,401.5,409.4,-7.9,-999,5
NH_70W_43N,43.022,-70.543,11/6/2013,0:17,339.1,2,2.15,402.1,2,1.9,1035.3,12.1,100.39,10.774,32.268,339.9,402.9,341.7,405,-63.4,343,406.6,-63.6,8.097,2
NH_70W_43N,43.022,-70.543,11/6/2013,3:17,365.5,2,2.08,408.9,2,1.92,1033.6,11.5,100.41,10.796,32.245,366.2,409.6,367.6,411.1,-43.6,369,412.7,-43.7,8.063,2
NH_70W_43N,43.022,-70.543,11/6/2013,6:17,381,2,2.09,407.2,2,1.94,1032.5,11.2,100.1,10.834,32.248,381.8,408,382.7,409.1,-26.4,384.2,410.7,-26.5,8.054,2
NH_70W_43N,43.022,-70.543,11/6/2013,9:17,384.5,2,2.13,407,2,2.01,1031.4,11.1,99.87,10.875,32.232,385.3,407.8,385.9,408.4,-22.5,387.4,409.9,-22.6,8.048,2
NH_70W_43N,43.022,-70.543,11/6/2013,12:17,396.6,2,2.18,406.7,2,2.07,1030.4,11.2,99.52,10.928,32.234,397.5,407.6,397.6,407.7,-10.1,399.2,409.3,-10.1,8.041,2
NH_70W_43N,43.022,-70.543,11/6/2013,15:17,389,2,2.34,407.9,2,2.29,1028.2,11.4,99.46,10.96,32.238,390,408.8,389.2,408,-18.8,390.8,409.6,-18.9,8.045,2
NH_70W_43N,43.022,-70.543,11/6/2013,18:17,379.8,2,2.48,400.8,2,2.48,1024.5,11.8,99.62,11.04,32.236,380.7,401.8,378.6,399.6,-21,380.1,401.2,-21.1,8.063,2
NH_70W_43N,43.022,-70.543,11/6/2013,21:17,394.1,2,2.51,398.5,2,2.42,1022.4,12.2,99.48,11.295,32.23,395.1,399.5,392.1,396.4,-4.3,393.6,398,-4.4,8.051,2
NH_70W_43N,43.022,-70.543,11/7/2013,0:17,403.3,2,2.53,400.6,2,2.46,1021.1,12.3,99.26,11.228,32.232,404.3,401.6,400.7,398,2.7,402.2,399.5,2.7,8.042,2
NH_70W_43N,43.022,-70.543,11/7/2013,3:17,401.1,2,2.57,401.1,2,2.51,1018,12.3,99.15,11.271,32.229,402.1,402.1,397.3,397.2,0,398.8,398.8,0,8.047,2
NH_70W_43N,43.022,-70.543,11/7/2013,6:17,397.7,2,2.6,401.3,2,2.53,1014.7,12.4,99.22,11.387,32.205,398.7,402.3,392.6,396.1,-3.6,394.1,397.7,-3.6,8.053,2
NH_70W_43N,43.022,-70.543,11/7/2013,9:17,403.6,2,2.61,404.7,2,2.56,1012.6,12.4,99.11,11.339,32.218,404.6,405.7,397.6,398.7,-1.1,399.1,400.2,-1.1,8.044,2
NH_70W_43N,43.022,-70.543,11/7/2013,12:17,412.7,2,2.77,401,2,2.76,1009.7,12.5,98.97,11.264,32.238,413.8,402.1,405.5,394,11.5,407,395.5,11.6,8.039,2
NH_70W_43N,43.022,-70.543,11/7/2013,15:17,402.4,2,2.78,401.4,2,2.8,1007.6,12.6,99.07,11.224,32.24,403.6,402.6,394.6,393.6,1,396.1,395.1,1,8.051,2
NH_70W_43N,43.022,-70.543,11/7/2013,18:17,394.1,2,2.83,404.1,2,2.82,1004.5,12.8,99.43,11.386,32.221,395.3,405.3,385.2,395,-9.8,386.7,396.5,-9.8,8.064,2
NH_70W_43N,43.022,-70.543,11/7/2013,21:17,-999,4,2.6,-999,4,2.57,1005.5,12.7,99.49,11.281,32.231,-999,-999,-999,-999,-999,-999,-999,-999,-999,5
NH_70W_43N,43.022,-70.543,11/8/2013,0:17,-999,4,2.4,-999,4,2.35,1007.5,12.4,99.52,11.237,32.232,-999,-999,-999,-999,-999,-999,-999,-999,-999,5
NH_70W_43N,43.022,-70.543,11/8/2013,3:17,398,2,2.09,403.9,2,1.96,1008.6,11.7,99.47,11.062,32.259,398.8,404.7,390.4,396.2,-5.8,391.9,397.7,-5.8,8.052,2
NH_70W_43N,43.022,-70.543,11/8/2013,6:17,399.9,2,2,406.2,2,1.88,1009.2,11.1,99.4,10.974,32.274,400.7,407,392.6,398.7,-6.1,394,400.2,-6.1,8.051,2
NH_70W_43N,43.022,-70.543,11/8/2013,9:17,386.9,2,1.86,404.1,2,1.72,1010.3,10.7,99.53,10.861,32.279,387.6,404.8,380.2,397,-16.8,381.6,398.5,-16.9,8.062,2
NH_70W_43N,43.022,-70.543,11/8/2013,12:17,395.3,2,1.78,405.7,2,1.66,1012.4,10.1,99.49,10.727,32.298,396,406.4,389.2,399.5,-10.2,390.7,401,-10.3,8.055,2
NH_70W_43N,43.022,-70.543,11/8/2013,15:17,377.9,2,2.14,404,2,2.05,1012.4,10.1,99.73,10.777,32.284,378.7,404.8,372.2,397.9,-25.7,373.6,399.4,-25.8,8.070,2
NH_70W_43N,43.022,-70.543,11/8/2013,18:17,367,2,2.09,404.4,2,1.94,1010.9,10.4,100.12,10.775,32.259,367.8,405.2,360.9,397.6,-36.7,362.3,399.2,-36.8,8.081,2
NH_70W_43N,43.022,-70.543,11/8/2013,21:17,366.7,2,1.92,405.5,2,1.81,1012.6,10.5,100.36,10.811,32.266,367.4,406.2,361.2,399.4,-38.1,362.6,400.9,-38.3,8.080,2
NH_70W_43N,43.022,-70.543,11/9/2013,0:17,367.9,2,1.82,404.2,2,1.68,1015.9,10.2,100.38,10.746,32.257,368.6,404.9,363.6,399.3,-35.8,365,400.9,-35.9,8.074,2
NH_70W_43N,43.022,-70.543,11/9/2013,3:17,390.9,2,1.81,404.8,2,1.67,1017.3,9.9,99.96,10.781,32.305,391.6,405.5,386.8,400.5,-13.7,388.3,402,-13.7,8.050,2
NH_70W_43N,43.022,-70.543,11/9/2013,6:17,384.8,2,1.83,404.7,2,1.67,1017.9,9.7,99.82,10.57,32.313,385.5,405.4,381,400.7,-19.6,382.5,402.2,-19.7,8.051,2
NH_70W_43N,43.022,-70.543,11/9/2013,9:17,391.8,2,1.8,404.8,2,1.63,1019.6,9.6,99.55,10.718,32.323,392.6,405.4,388.6,401.4,-12.7,390.1,402.9,-12.8,8.051,2
NH_70W_43N,43.022,-70.543,11/9/2013,12:17,401.7,2,1.76,405.1,2,1.58,1021.5,9.6,99.21,10.755,32.342,402.4,405.8,399.1,402.4,-3.3,400.7,404,-3.3,8.039,2
NH_70W_43N,43.022,-70.543,11/9/2013,15:17,390.4,2,1.91,404.9,2,1.79,1021,9.7,99.18,10.407,32.323,391.2,405.7,387.9,402.2,-14.4,389.4,403.8,-14.4,8.045,2
NH_70W_43N,43.022,-70.543,11/9/2013,18:17,392.9,2,2.09,402.7,2,1.9,1019.3,9.8,99.14,10.212,32.344,393.7,403.4,389.8,399.4,-9.6,391.3,401,-9.6,8.045,2
NH_70W_43N,43.022,-70.543,11/9/2013,21:17,398.7,2,2.05,401.1,2,1.79,1019.3,9.8,99.01,10.233,32.367,399.6,401.9,395.6,397.9,-2.3,397.1,399.4,-2.3,8.041,2
NH_70W_43N,43.022,-70.543,11/10/2013,0:17,401.4,2,2.09,402.7,2,1.82,1019.7,10.2,98.84,10.773,32.375,402.3,403.4,398.2,399.4,-1.2,399.8,400.9,-1.2,8.037,2
NH_70W_43N,43.022,-70.543,11/10/2013,3:17,398.8,2,2.04,405.9,2,1.8,1019.6,10.3,98.8,10.577,32.348,399.6,406.6,395.7,402.6,-6.9,397.2,404.1,-6.9,8.042,2
NH_70W_43N,43.022,-70.543,11/10/2013,6:17,397.8,2,2.23,407.6,2,2.03,1015.8,10.4,98.8,10.405,32.325,398.7,408.5,393.3,403,-9.6,394.8,404.5,-9.7,8.041,2
NH_70W_43N,43.022,-70.543,11/10/2013,9:17,400.8,2,2.27,406.2,2,2.07,1013.3,10.5,98.84,10.423,32.329,401.7,407,395.3,400.5,-5.2,396.8,402.1,-5.2,8.039,2
