expocode: 316420140925,,,,,,,,,,,,,,,,,,,,,,,,,
vessel name: NH,,,,,,,,,,,,,,,,,,,,,,,,,
"PIs: Sutton, A.; Vandemark, D,; Salisbury, J.",,,,,,,,,,,,,,,,,,,,,,,,,
vessel type: Mooring,,,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH_SW,QF_pH
NH_70W_43N,43.021,-70.543,9/25/14,16:17,392.9,2,2.6,390.9,2,2.5,1031.2,15,100.08,-999,-999,393.9,391.9,-999,-999,-999,-999,-999,-999,-999,5
NH_70W_43N,43.021,-70.543,9/25/14,16:47,388.1,2,2.25,392.3,2,2.05,1030.9,16,100.2,15.738,31.907,389,393.1,387.6,391.7,-4.1,389,393.2,-4.2,-999,5
NH_70W_43N,43.021,-70.543,9/25/14,17:17,383.2,2,2.29,390.7,2,1.98,1030.3,16.6,100.38,15.705,31.93,384.1,391.5,382.6,389.9,-7.4,384,391.3,-7.4,-999,5
NH_70W_43N,43.021,-70.543,9/25/14,17:47,381.3,2,2.33,390.7,2,1.99,1029.9,17.1,100.24,15.75,31.913,382.2,391.5,380.5,389.7,-9.2,381.9,391.1,-9.2,-999,5
NH_70W_43N,43.021,-70.543,9/25/14,18:17,379.6,2,2.36,390.8,2,1.95,1029.7,17.4,100.65,15.802,31.908,380.6,391.6,378.7,389.7,-11,380.1,391.2,-11,8.0547,2
NH_70W_43N,43.021,-70.543,9/25/14,18:47,376.8,2,2.44,390.6,2,2.01,1029.2,17.7,100.69,15.808,31.899,377.7,391.4,375.8,389.3,-13.6,377.1,390.7,-13.6,-999,5
NH_70W_43N,43.021,-70.543,9/25/14,19:17,374.8,2,2.47,390.6,2,2.02,1028.9,17.9,100.82,15.805,31.894,375.7,391.4,373.6,389.2,-15.6,375,390.6,-15.7,-999,5
NH_70W_43N,43.021,-70.543,9/25/14,19:47,370.6,2,2.49,390.6,2,2.03,1028.7,18,100.74,15.733,31.877,371.6,391.4,369.4,389.2,-19.7,370.8,390.6,-19.8,-999,5
NH_70W_43N,43.021,-70.543,9/25/14,21:17,370,2,2.94,391.2,2,2.49,1027.8,17.4,101.19,15.707,31.811,371.1,392.2,368.7,389.6,-21,370,391.1,-21,8.0622,2
NH_70W_43N,43.021,-70.543,9/26/14,0:17,375,2,2.81,391.3,2,2.42,1026.2,16.8,101.02,15.655,31.919,376.1,392.3,373,389.1,-16.1,374.4,390.5,-16.2,8.062,2
