expocode: 316420160107,,,,,,,,,,,,,,,,,,,,,,,,,
vessel name: NH_70W_43N,,,,,,,,,,,,,,,,,,,,,,,,,
"PIs: Sutton, A.; Vandemark, D.; Salisbury, J.",,,,,,,,,,,,,,,,,,,,,,,,,
vessel type: Mooring,,,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH SW,pH QF
NH_70W_43N,43.021,-70.543,1/7/16,18:17,412.2,2,1.41,406.4,2,1.14,1025.5,10.9,98.83,-999,-999,412.8,406.9,-999,-999,-999,-999,-999,-999,-999,5
NH_70W_43N,43.021,-70.543,1/7/16,18:47,413,2,1.15,407.3,2,0.88,1025.2,11.1,98.26,6.892,32.337,413.5,407.7,412.7,406.9,5.8,414.4,408.5,5.8,-999,5
NH_70W_43N,43.021,-70.543,1/7/16,19:17,412.4,2,1.16,407.5,2,0.83,1025.1,11.1,97.69,6.969,32.356,412.9,407.8,412,407,5,413.7,408.6,5,-999,5
NH_70W_43N,43.021,-70.543,1/7/16,19:47,410.9,2,1.14,407.6,2,0.81,1025.4,11,97.3,7.029,32.369,411.4,407.9,410.7,407.2,3.5,412.3,408.8,3.5,-999,5
NH_70W_43N,43.021,-70.543,1/7/16,20:17,410.6,2,1.17,407.5,2,0.84,1025.4,10.9,97.25,7.048,32.373,411.1,407.8,410.4,407.1,3.3,412.1,408.7,3.3,-999,5
NH_70W_43N,43.021,-70.543,1/7/16,20:47,410.1,2,1.12,407.6,2,0.78,1025.7,10.8,96.96,7.075,32.383,410.6,407.9,409.9,407.3,2.6,411.6,409,2.6,-999,5
NH_70W_43N,43.021,-70.543,1/7/16,21:17,410.1,2,1.12,407.5,2,0.78,1025.9,10.7,96.82,7.074,32.386,410.6,407.8,410,407.3,2.8,411.7,408.9,2.8,8.021,2
NH_70W_43N,43.021,-70.543,1/7/16,21:47,410.1,2,1.08,407.1,2,0.82,1025.9,10.6,96.83,7.101,32.39,410.5,407.5,410,406.9,3,411.6,408.6,3,-999,5
NH_70W_43N,43.021,-70.543,1/8/16,0:17,408,2,1.4,405.5,2,1.16,1026.7,8.7,96.72,7.183,32.417,408.6,406,408.3,405.7,2.6,410,407.4,2.6,8.03,2
NH_70W_43N,43.021,-70.543,1/8/16,3:17,416.4,2,1.42,405.3,2,1.24,1025.8,8.3,96.6,7.271,32.455,417,405.8,416.3,405.2,11.2,418,406.8,11.2,8.027,2
NH_70W_43N,43.021,-70.543,1/8/16,6:17,417.7,2,1.38,407,2,1.17,1025.6,8.1,96.35,7.292,32.46,418.3,407.5,417.5,406.8,10.8,419.2,408.4,10.8,8.028,2
NH_70W_43N,43.021,-70.543,1/8/16,9:17,416.7,2,1.22,417.3,2,1.12,1025.6,7.8,96.36,7.254,32.46,417.2,417.7,416.4,417,-0.6,418.1,418.7,-0.6,8.025,2
NH_70W_43N,43.021,-70.543,1/8/16,12:17,421.2,2,1.22,418.8,2,1.14,1026.3,7.5,96.28,7.474,32.524,421.7,419.2,421.2,418.8,2.5,422.9,420.5,2.5,8.028,2
NH_70W_43N,43.021,-70.543,1/8/16,15:17,413.8,2,1.26,419.4,2,1.2,1027.2,7.5,96.28,7.351,32.495,414.3,420,414.2,419.9,-5.6,415.9,421.6,-5.7,8.031,2
NH_70W_43N,43.021,-70.543,1/8/16,18:17,414,2,1.36,407.2,2,1.3,1026.2,7.5,96.48,7.288,32.473,414.5,407.7,414,407.3,6.8,415.7,408.9,6.8,8.03,2
NH_70W_43N,43.021,-70.543,1/8/16,21:17,413.7,2,1.42,406.5,2,1.36,1026.3,7.7,96.47,7.269,32.469,414.3,407.1,413.9,406.7,7.2,415.6,408.3,7.3,8.032,2
NH_70W_43N,43.021,-70.543,1/9/16,0:17,415.6,2,1.37,407.1,2,1.28,1026.6,7.7,96.55,7.297,32.484,416.1,407.6,415.8,407.3,8.6,417.5,408.9,8.6,8.029,2
NH_70W_43N,43.021,-70.543,1/9/16,3:17,417.9,2,1.37,404.7,2,1.28,1027.1,7.7,96.51,7.319,32.493,418.4,405.2,418.3,405.1,13.3,420,406.7,13.3,8.027,2
NH_70W_43N,43.021,-70.543,1/9/16,9:17,418.7,2,1.38,404.8,2,1.29,1026.1,7.6,96.48,7.207,32.47,419.3,405.3,418.8,404.8,13.9,420.5,406.5,14,8.027,2
NH_70W_43N,43.021,-70.543,1/9/16,12:17,418.8,2,1.41,404.1,2,1.32,1025.9,7.7,96.38,7.176,32.468,419.4,404.6,418.8,404,14.8,420.5,405.7,14.8,8.022,2
NH_70W_43N,43.021,-70.543,1/9/16,15:17,418.3,2,1.28,409.3,2,1.24,1026.7,7.7,96.54,7.088,32.452,418.8,409.8,418.6,409.6,9,420.3,411.2,9.1,8.021,2
NH_70W_43N,43.021,-70.543,1/9/16,18:17,425.1,2,1.33,409,2,1.29,1025,7.5,96.54,7.053,32.49,425.7,409.5,424.7,408.7,16.1,426.5,410.3,16.2,8.016,2
NH_70W_43N,43.021,-70.543,1/9/16,21:17,424.2,2,1.44,401.9,2,1.39,1024.9,7.5,96.6,7.088,32.488,424.9,402.5,423.8,401.5,22.3,425.6,403.1,22.4,8.018,2
NH_70W_43N,43.021,-70.543,1/10/16,0:17,425.5,2,1.57,401.9,2,1.52,1025.1,7.8,96.55,7.082,32.485,426.2,402.5,425.3,401.6,23.7,427,403.2,23.8,8.021,2
NH_70W_43N,43.021,-70.543,1/10/16,3:17,430.9,2,1.54,401.7,2,1.5,1024.9,8,96.39,7.093,32.485,431.6,402.3,430.6,401.4,29.2,432.4,403,29.3,8.015,2
NH_70W_43N,43.021,-70.543,1/10/16,6:17,429.7,2,1.57,401.7,2,1.53,1022.9,8,96.36,7.055,32.473,430.3,402.3,428.5,400.6,27.9,430.2,402.2,28,8.013,2
NH_70W_43N,43.021,-70.543,1/10/16,9:17,431,2,1.61,401.8,2,1.58,1020.9,8.1,96.41,7.046,32.47,431.7,402.5,429.1,400,29.1,430.8,401.6,29.2,8.013,2
NH_70W_43N,43.021,-70.543,1/10/16,12:17,433.9,2,1.67,401.6,2,1.64,1017.3,8.1,96.41,7.032,32.463,434.6,402.3,430.4,398.4,32,432.2,400,32.2,8.01,2
NH_70W_43N,43.021,-70.543,1/10/16,15:17,433.6,2,1.75,401.1,2,1.72,1012.7,8.3,96.72,7.12,32.505,434.4,401.8,428.2,396,32.2,429.9,397.6,32.3,8.014,2
NH_70W_43N,43.021,-70.543,1/10/16,18:17,438.2,2,1.83,400.1,2,1.82,1002.1,8.5,97.31,7.174,32.497,439,400.9,428.2,391,37.2,429.9,392.5,37.4,8.012,2
NH_70W_43N,43.021,-70.543,1/10/16,21:17,451.8,2,1.94,399.4,2,1.94,996.8,8.8,97.69,7.164,32.491,452.6,400.2,439.1,388.2,50.9,440.8,389.7,51.1,8.007,2
NH_70W_43N,43.021,-70.543,1/11/16,0:17,457.7,2,1.94,399.4,2,1.94,992.3,8.9,97.68,7.161,32.495,458.6,400.1,442.9,386.4,56.4,444.6,387.9,56.7,8.004,2
NH_70W_43N,43.021,-70.543,1/11/16,3:17,460.3,2,1.85,405.2,2,1.87,992.8,8.8,97.49,7.191,32.502,461.1,405.9,445.5,392.2,53.4,447.3,393.7,53.6,8,2
NH_70W_43N,43.021,-70.543,1/11/16,6:17,457.6,2,1.74,411,2,1.77,994.3,8.7,97.38,6.999,32.457,458.4,411.7,443.6,398.4,45.2,445.3,400,45.3,8,2
NH_70W_43N,43.021,-70.543,1/11/16,9:17,455.3,2,1.22,405,2,1.24,999.1,7.9,97.37,6.918,32.449,455.9,405.5,443.4,394.4,49,445.1,395.9,49.2,7.997,2
NH_70W_43N,43.021,-70.543,1/11/16,12:17,455.8,2,1.02,403.6,2,1.03,1003.9,7.1,97.01,7.021,32.481,456.3,404,445.9,394.8,51.1,447.6,396.4,51.3,7.996,2
